SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_1003,1_1003_c_00,It's smashed beyond repair. What are you gonna do with it?,0:03,HOWARD,BBT,,,,,,
1_1003,1_1003_c_01,"What else? Sell it on eBay as ""slightly used.""",0:07,RAJ,BBT,,,,,,
1_1003,1_1003_c_02,"It was Penny's boyfriend's, they broke up.",0:1,LEONARD,BBT,,,,,,
1_1003,1_1003_c_03,"Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.",0:16,HOWARD,BBT,,,,,,
1_1003,1_1003_c_04,I'm gonna go back and try talking to her again.,0:2,LEONARD,BBT,,,,,,
1_1003,1_1003_u,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",0:08,HOWARD,BBT,1,PRO,Anger,Sadness,3,6
1_10190,1_10190_c_00,it's important to the story that my boobs be the last things to turn ape.,0:03,PENNY,BBT,,,,,,
1_10190,1_10190_c_01,It's sweet that he thinks there's a story.,0:09,LEONARD,BBT,,,,,,
1_10190,1_10190_c_02,"Oh, and there's not even a bathroom on set.
I have to go to the gas station across the street.",0:14,PENNY,BBT,,,,,,
1_10190,1_10190_c_03,"I mean, I was dressed like half an ape and still not even close to the most disgusting person in there.",0:19,PENNY,BBT,,,,,,
1_10190,1_10190_c_04,"Leonard, I could use your assistance.",0:22,SHELDON,BBT,,,,,,
1_10190,1_10190_c_05,Sure. What's up?,0:24,LEONARD,BBT,,,,,,
1_10190,1_10190_u,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",0:11,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_10462,1_10462_c_00,"it's-it's what my grant was designated for, and that everybody has to do things they don't want to do.",0:02,SHELDON,BBT,,,,,,
1_10462,1_10462_c_01,"He then gave an example of something he had to do, even though he didn't want to, which was look at my stupid face.",0:08,SHELDON,BBT,,,,,,
1_10462,1_10462_c_02,That's a rude thing to say. Out loud.,0:14,LEONARD,BBT,,,,,,
1_10462,1_10462_c_03,"It's an outrage.
Honestly, I'm tempted to leave the university.",0:2,SHELDON,BBT,,,,,,
1_10462,1_10462_u,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",0:09,HOWARD,BBT,1,PRO,Disgust,Excitement,4,6
1_10495,1_10495_c_00,"Ugh! It's like walking into the Amazon.
And not the good Amazon with one-day shipping.
The awful one with birds and snakes.",0:05,SHELDON,BBT,,,,,,
1_10495,1_10495_c_01,You hate the sound of all those keys on his key chain.,0:09,AMY,BBT,,,,,,
1_10495,1_10495_c_02,"Four keys!
Who does he think he is, a warden?",0:13,SHELDON,BBT,,,,,,
1_10495,1_10495_c_03,See? Maybe you'll love living alone.,0:17,AMY,BBT,,,,,,
1_10495,1_10495_c_04,I don't know. Perhaps.,0:2,SHELDON,BBT,,,,,,
1_10495,1_10495_u,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",0:07,AMY,BBT,1,ILL,Disgust,Neutral,3,7
1_10496,1_10496_c_00,"And not the good Amazon with one-day shipping.
The awful one with birds and snakes.",0:02,SHELDON,BBT,,,,,,
1_10496,1_10496_c_01,You hate the sound of all those keys on his key chain.,0:06,AMY,BBT,,,,,,
1_10496,1_10496_c_02,"Four keys!
Who does he think he is, a warden?",0:1,SHELDON,BBT,,,,,,
1_10496,1_10496_c_03,See? Maybe you'll love living alone.,0:14,AMY,BBT,,,,,,
1_10496,1_10496_c_04,I don't know. Perhaps.,0:16,SHELDON,BBT,,,,,,
1_10496,1_10496_c_05,And if it turns out you don't... you and I could live together,0:2,AMY,BBT,,,,,,
1_10496,1_10496_u,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",0:14,SHELDON,BBT,1,PRO,Frustration,Happiness,2,8
1_105,1_105_c_00,"Great Caesar's ghost, look at this place.",0:03,SHELDON,BBT,,,,,,
1_105,1_105_c_01,So Penny's a little messy.,0:07,LEONARD,BBT,,,,,,
1_105,1_105_c_02,A little messy?,0:09,SHELDON,BBT,,,,,,
1_105,1_105_c_03,The Mandelbrot set of complex numbers is a little messy. This is chaos.,0:13,SHELDON,BBT,,,,,,
1_105,1_105_c_04,Excuse me.,0:15,SHELDON,BBT,,,,,,
1_105,1_105_c_05,Explain to me an organizational system where a tray of flatware on a couch is valid.,0:2,SHELDON,BBT,,,,,,
1_105,1_105_u,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,0:06,SHELDON,BBT,1,EMB,Disgust,Neutral,2,6
1_10748,1_10748_c_00,"Howard and Bernadette, Raj and his girlfriend, Penny and Chardonnay, Penny and you.",0:06,SHELDON,BBT,,,,,,
1_10748,1_10748_c_01,There isn't any ranking.,0:1,LEONARD,BBT,,,,,,
1_10748,1_10748_c_02,"And if there were, we wouldn't be at the bottom of it.",0:13,LEONARD,BBT,,,,,,
1_10748,1_10748_c_03,"Yeah, and actually, I drink Sauvignon Blanc.",0:16,PENNY,BBT,,,,,,
1_10748,1_10748_c_04,That's the part you have a problem with?,0:2,LEONARD,BBT,,,,,,
1_10748,1_10748_c_05,Relax.,0:22,PENNY,BBT,,,,,,
1_10748,1_10748_u,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",0:07,AMY,BBT,1,PRO,Disgust,Sadness,3,7
1_10797,1_10797_c_00,to be a pharmaceutical sales rep.,0:02,BERNADETTE,BBT,,,,,,
1_10797,1_10797_c_01,Maybe she can practice on you some time.,0:04,BERNADETTE,BBT,,,,,,
1_10797,1_10797_c_02,"Oh, it would be great to practice on a real doctor.",0:07,PENNY,BBT,,,,,,
1_10797,1_10797_c_03,Yeah. I'm sure that'd be fine.,0:09,PERSON,BBT,,,,,,
1_10797,1_10797_c_04,I have some odd freckles on my buttocks.,0:12,SHELDON,BBT,,,,,,
1_10797,1_10797_c_05,Can I make an appointment for you to look at them?,0:17,SHELDON,BBT,,,,,,
1_10797,1_10797_c_06,"Um... okay, I guess.",0:21,PERSON,BBT,,,,,,
1_10797,1_10797_u,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0:07,AMY,BBT,0,NONE,Frustration,Frustration,4,6
1_10810,1_10810_c_00,"For starters, they shed and bite.",0:02,SHELDON,BBT,,,,,,
1_10810,1_10810_c_01,"Hey, here's a thought.
Why don't we put up the rest of the money that Stuart needs?",0:1,LEONARD,BBT,,,,,,
1_10810,1_10810_c_02,"So, we'd be, like, owners of a comic book store?",0:15,RAJ,BBT,,,,,,
1_10810,1_10810_c_03,It's kind of a dream come true.,0:18,LEONARD,BBT,,,,,,
1_10810,1_10810_c_04,That does sound fun.,0:19,HOWARD,BBT,,,,,,
1_10810,1_10810_c_05,"Ooh, maybe we could come up with a business plan to compete with this place.",0:23,RAJ,BBT,,,,,,
1_10810,1_10810_u,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0:1,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_10829,1_10829_c_00,You would leave me out of the conversation with the next guy if you dump Leonard?,0:02,RAJ,BBT,,,,,,
1_10829,1_10829_c_01,Why say it? Yes!,0:04,PENNY,BBT,,,,,,
1_10829,1_10829_c_02,"Well, I would never leave you off my list, and not just because, without you, we're playing fast and loose with the word list.",0:12,RAJ,BBT,,,,,,
1_10829,1_10829_c_03,"Well, good job. Now she hates me.",0:15,PENNY,BBT,,,,,,
1_10829,1_10829_c_04,Great.,0:2,RAJ,BBT,,,,,,
1_10829,1_10829_u,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",0:1,SHELDON,BBT,1,EMB,Disgust,Happiness,3,4
1_10849,1_10849_c_00,he used to... take me to the comic book store.,0:04,HOWARD,BBT,,,,,,
1_10849,1_10849_c_01,It was one of the few things we did together.,0:08,HOWARD,BBT,,,,,,
1_10849,1_10849_c_02,"Oh. Howie, I had no idea.",0:11,BERNADETTE,BBT,,,,,,
1_10849,1_10849_c_03,"Well, I don't... like to talk about it.",0:14,HOWARD,BBT,,,,,,
1_10849,1_10849_c_04,"Oh, baby. 
That story's made up, isn't it?",0:22,BERNADETTE,BBT,,,,,,
1_10849,1_10849_u,That's how much buying a comic book store means to me.,0:05,HOWARD,BBT,0,NONE,Excitement,Excitement,6,6
1_10853,1_10853_c_00,"Uh, listen, Penny, before you start, I just want to apologize for being so rude the other day in my office.",0:05,PERSON,BBT,,,,,,
1_10853,1_10853_c_01,"No, no. No need to apologize.",0,PENNY,BBT,,,,,,
1_10853,1_10853_c_02,"Excuse me, can I say something?",0:07,RAJ,BBT,,,,,,
1_10853,1_10853_c_03,"I just love both you guys, and I want you to get along.",0:12,RAJ,BBT,,,,,,
1_10853,1_10853_c_04,"And when I say love"" I meant as a friend.
And, uh, way too soon, right?",0:21,RAJ,BBT,,,,,,
1_10853,1_10853_u,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0:05,PENNY,BBT,0,NONE,Sadness,Sadness,4,6
1_10857,1_10857_c_00,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago.",0:03,PENNY,BBT,,,,,,
1_10857,1_10857_c_01,"It was, and I may have made it seem like a bigger deal than I should have.",0:06,RAJ,BBT,,,,,,
1_10857,1_10857_c_02,"Yeah, and Leonard and I are engaged now, and I'm just hoping we can put this whole thing behind us.",0:1,PENNY,BBT,,,,,,
1_10857,1_10857_c_03,"Mm. I'd like that, too.",0:12,PERSON,BBT,,,,,,
1_10857,1_10857_c_04,"Yeah, I thought I'd be okay with it, but then I saw how pretty you are.",0:16,PERSON,BBT,,,,,,
1_10857,1_10857_c_05,"Oh, that's so sweet.
I mean, look at you-- you are gorgeous.",0:2,PENNY,BBT,,,,,,
1_10857,1_10857_u,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0:07,RAJ,BBT,0,NONE,Happiness,Happiness,6,7
1_10859,1_10859_c_00,It's true-- you're both gorgeous.,0:02,RAJ,BBT,,,,,,
1_10859,1_10859_c_01,Kind of says something about the man who could bed you both.,0:06,RAJ,BBT,,,,,,
1_10859,1_10859_c_02,You get why I've been alone most of my adult life.,0:16,RAJ,BBT,,,,,,
1_10859,1_10859_c_03,"So, what brings you by? Well,",0:23,PERSON,BBT,,,,,,
1_10859,1_10859_u,I don't need a reason-- it's my house.,0:03,HOWARD,BBT,0,NONE,Frustration,Frustration,4,5
1_10890,1_10890_c_00,Robot girlfriend.,0:02,LEONARD,BBT,,,,,,
1_10890,1_10890_c_01,"Mm, that was mine.",0:03,HOWARD,BBT,,,,,,
1_10890,1_10890_c_02,Robot prostitute.,0:06,LEONARD,BBT,,,,,,
1_10890,1_10890_c_03,Also mine.,0:09,HOWARD,BBT,,,,,,
1_10890,1_10890_c_04,"Wait. I'm confused. 
Why would you need both a robot girlfriend and a robot prostitute?",0:14,SHELDON,BBT,,,,,,
1_10890,1_10890_c_05,There's just some things you don't do with your robot girlfriend.,0:2,HOWARD,BBT,,,,,,
1_10890,1_10890_u,"Boy, when you met Bernadette, the field of robotics really took a hit.",0:06,RAJ,BBT,1,PRO,Disgust,Happiness,3,6
1_10977,1_10977_c_00,Like what? Your incomplete set of <i>Star Trek</i> collector plates?,0:04,BERNADETTE,BBT,,,,,,
1_10977,1_10977_c_01,"For your information, I just bought the last one I needed on eBay.",0:08,HOWARD,BBT,,,,,,
1_10977,1_10977_c_02,Without asking me?,0:1,BERNADETTE,BBT,,,,,,
1_10977,1_10977_c_03,There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home.,0:18,HOWARD,BBT,,,,,,
1_10977,1_10977_c_04,"How much, Howie?",0:21,BERNADETTE,BBT,,,,,,
1_10977,1_10977_c_05,Not a lot.,0:22,HOWARD,BBT,,,,,,
1_10977,1_10977_c_06,How much?,0:24,BERNADETTE,BBT,,,,,,
1_10977,1_10977_u,Let's not talk about this in front of our friends.,0:04,HOWARD,BBT,0,NONE,Sadness,Sadness,4,5
1_11006,1_11006_c_00,"Well, if I do well in sales, I could end up making a lot more money than you.",0:03,PENNY,BBT,,,,,,
1_11006,1_11006_c_01,"Not a problem. I grew up with a mother who emasculated my father financially and in every other aspect of his life, so...",0:09,LEONARD,BBT,,,,,,
1_11006,1_11006_c_02,"...really, it's what I think love looks like.",0:14,LEONARD,BBT,,,,,,
1_11006,1_11006_c_03,I'll be right back. I'm gonna go check on him.,0:17,BERNADETTE,BBT,,,,,,
1_11006,1_11006_u,Maybe it's a good thing we came here. It's like a lesson in what not to do.,0:04,PENNY,BBT,1,PRO,Disgust,Happiness,3,6
1_11021,1_11021_c_00,"So, what are you working on these days?",0:02,BERNADETTE,BBT,,,,,,
1_11021,1_11021_c_01,I'm studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.,0:07,AMY,BBT,,,,,,
1_11021,1_11021_c_02,What would a one-celled organism have to be embarrassed about?,0:1,BERNADETTE,BBT,,,,,,
1_11021,1_11021_u,"Same as all of us, getting out of a car without underwear.",0:05,PENNY,BBT,1,PRO,Ridicule,Neutral,4,6
1_11042,1_11042_c_00,"but since you seem to be okay with the article being canceled, I have a little confession.
I'm the reason it was pulled.",0:04,AMY,BBT,,,,,,
1_11042,1_11042_c_01,What? How?,0:05,BERNADETTE,BBT,,,,,,
1_11042,1_11042_c_02,I sent the editors of the magazine a pretty scathing e-mail.,0:09,AMY,BBT,,,,,,
1_11042,1_11042_c_03,"Amy, what did you say?",0:11,BERNADETTE,BBT,,,,,,
1_11042,1_11042_c_04,"I simply pointed out that they would never consider doing an article ranking male scientists on their sexuality, let alone showing them in various stages of undress.",0:2,AMY,BBT,,,,,,
1_11042,1_11042_u,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0:07,BERNADETTE,BBT,0,NONE,Sadness,Sadness,3,7
1_11046,1_11046_c_00,Red Zinger with one teaspoon of honey.,0:03,SHELDON,BBT,,,,,,
1_11046,1_11046_c_01,"Thank you.
Neat<i> Star Trek</i> mug.",0:05,PERSON,BBT,,,,,,
1_11046,1_11046_c_02,I actually have one of the phasers from the original TV show.,0:09,PERSON,BBT,,,,,,
1_11046,1_11046_c_03,"Oh, cool.
How'd you get that?",0:12,HOWARD,BBT,,,,,,
1_11046,1_11046_c_04,"Oh, easy, Gene Roddenberry needed a vasectomy.",0:14,PERSON,BBT,,,,,,
1_11046,1_11046_c_05,"Wait a minute.
You've snipped Gene Roddenberry's vas deferens?",0:21,SHELDON,BBT,,,,,,
1_11046,1_11046_c_06,Yes.,0:22,PERSON,BBT,,,,,,
1_11046,1_11046_u,"Wow, he really went where no man has gone before.",0:05,HOWARD,BBT,0,NONE,Happiness,Surprise,6,6
1_11051,1_11051_c_00,"Ooh.
He was so happy after he passed it, he gave me a Terminator.",0:06,PERSON,BBT,,,,,,
1_11051,1_11051_c_01,"That is amazing.
How long have you been collecting?",0:1,LEONARD,BBT,,,,,,
1_11051,1_11051_c_02,"Ever since I was a kid, but, uh, I didn't really get serious until William Shatner's bladder infection.",0:16,PERSON,BBT,,,,,,
1_11051,1_11051_c_03,What'd you get? What'd you get?,0:2,SHELDON,BBT,,,,,,
1_11051,1_11051_u,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0:07,PERSON,BBT,0,NONE,Happiness,Happiness,6,6
1_11055,1_11055_c_00,A gallant man would defend his fiance for being called a urethra.,0:03,HOWARD,BBT,,,,,,
1_11055,1_11055_c_01,Can we please change the subject?,0:07,LEONARD,BBT,,,,,,
1_11055,1_11055_c_02,"Well, that didn't go your way.",0:11,RAJ,BBT,,,,,,
1_11055,1_11055_c_03,"Dr. Lorvis, what are you doing here?",0:16,PENNY,BBT,,,,,,
1_11055,1_11055_c_04,"Uh, well, actually I came to see you.",0:18,PERSON,BBT,,,,,,
1_11055,1_11055_c_05,Really? Why?,0:2,PENNY,BBT,,,,,,
1_11055,1_11055_u,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",0:12,LEONARD,BBT,1,PRO,Disgust,Neutral,3,7
1_11098,1_11098_c_00,"I don't suppose you also brought napkins, clean bowls, utensils and a roll of toilet paper.",0:02,PENNY,BBT,,,,,,
1_11098,1_11098_c_01,Right here.,0:03,BERNADETTE,BBT,,,,,,
1_11098,1_11098_c_02,You guys are the best.,0:06,PENNY,BBT,,,,,,
1_11098,1_11098_c_03,What's with the clothes?,0:07,AMY,BBT,,,,,,
1_11098,1_11098_c_04,"Well, with all the new stuff I bought for work, I needed to make room in my closet.",0:11,PENNY,BBT,,,,,,
1_11098,1_11098_c_05,"I meant why are they folded? 
But whatever.",0:13,AMY,BBT,,,,,,
1_11098,1_11098_c_06,"Ooh, what's this?",0:17,AMY,BBT,,,,,,
1_11098,1_11098_c_07,"That, believe it or not, is my prom dress.",0:2,PENNY,BBT,,,,,,
1_11098,1_11098_u,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",0:09,BERNADETTE,BBT,1,PRO,Ridicule,Surprise,3,7
1_11120,1_11120_c_00,There's nothing weird going on with me and your mother.,0:03,PERSON1,BBT,,,,,,
1_11120,1_11120_c_01,"Stewie, your bath is getting cold!",0:06,PERSON2,BBT,,,,,,
1_11120,1_11120_c_02,"I got to go, bye.",0:1,PERSON1,BBT,,,,,,
1_11120,1_11120_c_03,"Penny?
Penny.
Penny.
Penny.
Penny.",0:2,SHELDON,BBT,,,,,,
1_11120,1_11120_c_04,You knocked more than usual.,0:22,PENNY,BBT,,,,,,
1_11120,1_11120_u,"Next time I might be in a rush, it's good to have a few in the bank.",0:04,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_11177,1_11177_c_00,"Okay, why?",0:23,LEONARD,BBT,,,,,,
1_11177,1_11177_u,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,0:05,SHELDON,BBT,1,EMB,Frustration,Sadness,4,7
1_11201,1_11201_c_00,It's nice they're getting exercise.,0:01,AMY,BBT,,,,,,
1_11201,1_11201_c_01,"Although now that I think about it, Leonard would never go swimming in public without his swim shirt.",0:08,SHELDON,BBT,,,,,,
1_11201,1_11201_c_02,I'm sure he brought it.,0:12,AMY,BBT,,,,,,
1_11201,1_11201_c_03,"No, but last year, at Magic Mountain, he got such a bad sunburn, we had to cut him out of it.",0:18,SHELDON,BBT,,,,,,
1_11201,1_11201_u,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0:07,AMY,BBT,0,NONE,Fear,Fear,4,6
1_11224,1_11224_c_00,"You heard what he said about his parents. 
It was the little things they kept bottled up. 
I don't want that to happen to us.",0:06,BERNADETTE,BBT,,,,,,
1_11224,1_11224_c_01,How can I convince you it won't?,0:09,HOWARD,BBT,,,,,,
1_11224,1_11224_c_02,"Well, is there anything about me you're keeping inside?",0:12,BERNADETTE,BBT,,,,,,
1_11224,1_11224_c_03,"I'm not answering that. 
It's a trap.",0:15,HOWARD,BBT,,,,,,
1_11224,1_11224_c_04,So there<i> are</i> things you don't like.,0:21,BERNADETTE,BBT,,,,,,
1_11224,1_11224_u,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,0:1,HOWARD,BBT,1,EMB,Sadness,Sadness,3,8
1_11232,1_11232_c_00,And I love that you're strong and independent.,0:05,HOWARD,BBT,,,,,,
1_11232,1_11232_c_01,"And yet, I still love when you hold a door for me.",0:08,BERNADETTE,BBT,,,,,,
1_11232,1_11232_c_02,"I love that I'm kind of a slob around here, and...
you're okay with that.",0:14,HOWARD,BBT,,,,,,
1_11232,1_11232_c_03,Uh-huh.,0:21,BERNADETTE,BBT,,,,,,
1_11232,1_11232_u,"And I love that I work and do all the cleaning, and you're okay with that.",0:06,BERNADETTE,BBT,1,PRO,Anger,Happiness,3,8
1_11236,1_11236_c_00,Wow. I don't know which hurts worse-- my nose or my heart.,0:06,SHELDON,BBT,,,,,,
1_11236,1_11236_c_01,"Well, I'm done speaking to you.",0:09,SHELDON,BBT,,,,,,
1_11236,1_11236_c_02,Don't be like that. You two need to talk this out.,0:12,AMY,BBT,,,,,,
1_11236,1_11236_c_03,"Yeah, 'cause you sound really funny.",0:15,PENNY,BBT,,,,,,
1_11236,1_11236_c_04,"Sheldon, I'm sorry I didn't tell you about the surgery, but you were worried about nothing.",0:21,LEONARD,BBT,,,,,,
1_11236,1_11236_u,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0:12,SHELDON,BBT,0,NONE,Anger,Anger,3,7
1_11242,1_11242_c_00,"I was not panicked, and I am not overly attached to Leonard.",0:04,SHELDON,BBT,,,,,,
1_11242,1_11242_c_01,"You were so worried that you smashed your face trying to check on me.
You love me.",0:09,LEONARD,BBT,,,,,,
1_11242,1_11242_c_02,Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain.,0:15,SHELDON,BBT,,,,,,
1_11242,1_11242_c_03,"Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",0:21,SHELDON,BBT,,,,,,
1_11242,1_11242_u,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",0:09,BERNADETTE,BBT,1,EMB,Anger,Happiness,2,8
1_11243,1_11243_c_00,Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain.,0:05,SHELDON,BBT,,,,,,
1_11243,1_11243_c_01,"Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",0:1,SHELDON,BBT,,,,,,
1_11243,1_11243_c_02,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",0:21,BERNADETTE,BBT,,,,,,
1_11243,1_11243_u,I love that you're too good to pee in the kitchen sink.,0:05,HOWARD,BBT,1,PRO,Anger,Happiness,3,7
1_11253,1_11253_c_00,"Who will stand between us and flag ignorance""""",0:02,SHELDON,BBT,,,,,,
1_11253,1_11253_c_01,"I know I was thinking that.
Is this a show on flags or mind reading?",0:08,AMY,BBT,,,,,,
1_11253,1_11253_c_02,"But the truth is I can no longer balance a full-time career, a popular Internet show, and a girlfriend.",0:15,SHELDON,BBT,,,,,,
1_11253,1_11253_c_03,"And he really does have one, you jerks on the comment board.",0:21,AMY,BBT,,,,,,
1_11253,1_11253_u,"So as they say, all good things must come to an end.",0:07,SHELDON,BBT,0,NONE,Happiness,Happiness,6,6
1_11257,1_11257_c_00,"You know, I thought cleaning out a dead professor's office was gonna just be boring, but then I found his dentures and realized it's also gross.",0:2,RAJ,BBT,,,,,,
1_11257,1_11257_u,Doesn't Professor Abbott's family want any of this stuff?,0:04,HOWARD,BBT,0,NONE,Sadness,Sadness,4,5
1_11306,1_11306_c_00,"Well, that's it.",0:02,LEONARD,BBT,,,,,,
1_11306,1_11306_c_01,That's the end of Roger Abbott.,0:05,LEONARD,BBT,,,,,,
1_11306,1_11306_c_02,And we still don't know who framed him.,0:1,RAJ,BBT,,,,,,
1_11306,1_11306_c_03,I still keep thinking about how an entire life can seemingly amount to nothing.,0:17,LEONARD,BBT,,,,,,
1_11306,1_11306_u,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0:15,HOWARD,BBT,0,NONE,Sadness,Sadness,4,6
1_11322,1_11322_c_00,"Hey, how are things going with your parents?",0:04,PENNY,BBT,,,,,,
1_11322,1_11322_c_01,Not great. They hired divorce attorneys.,0:07,RAJ,BBT,,,,,,
1_11322,1_11322_c_02,"You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk.",0:15,SHELDON,BBT,,,,,,
1_11322,1_11322_u,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",0:06,PENNY,BBT,1,PRO,Disgust,Happiness,4,7
1_11378,1_11378_c_00,"Okay. On the count of three, I'll shoot the fire extinguisher and get him airborne.",0:17,LEONARD,BBT,,,,,,
1_11378,1_11378_c_01,"Howard, you wave the blanket and guide him towards the exit.",0:19,LEONARD,BBT,,,,,,
1_11378,1_11378_c_02,"Raj, you hold open the curtain so he can fly out.",0:21,LEONARD,BBT,,,,,,
1_11378,1_11378_u,Are you sure a dummy like me can handle something as complicated as a blanket?,0:06,HOWARD,BBT,1,LIK,Anger,Neutral,4,6
1_11439,1_11439_c_00,This isn't so bad.,0:02,LEONARD,BBT,,,,,,
1_11439,1_11439_c_01,"That's easy for you to say. 
Your chair's not facing the lingerie section.",0:07,SHELDON,BBT,,,,,,
1_11439,1_11439_c_02,"Boy, that's a lot of panties.",0:1,SHELDON,BBT,,,,,,
1_11439,1_11439_c_03,You guys comfy? This might take a while.,0:14,AMY,BBT,,,,,,
1_11439,1_11439_c_04,"You know, I don't understand why women insist on making a big production out of buying clothes.",0:19,SHELDON,BBT,,,,,,
1_11439,1_11439_u,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",0:07,PENNY,BBT,1,PRO,Disgust,Neutral,3,7
1_1144,1_1144_c_00,Are you saying that you've been holding back?,0:02,HOWARD,BBT,,,,,,
1_1144,1_1144_c_01,Of course. Out of respect.,0:06,LEONARD,BBT,,,,,,
1_1144,1_1144_c_02,"So, how do you explain the ten years before Penny?",0:1,HOWARD,BBT,,,,,,
1_1144,1_1144_c_03,Who were you respecting then?,0:13,RAJ,BBT,,,,,,
1_1144,1_1144_c_04,"Well, I've dated plenty of women.",0:16,LEONARD,BBT,,,,,,
1_1144,1_1144_c_05,"There was Joyce Kim, Leslie Winkle",0:22,LEONARD,BBT,,,,,,
